linea_id,linea_nombre,linea_abreviatura,linea_zona,zona_grupo,linea_grupo_tipologia,linea_empresa
51,51 - < > 57  CIRCULAR LA LAGUNA -> TEJINA - TACORO,51,ZONA METROPOLITANA,ZONA CENTRO,CABILDO,TITSA
52,52 - LA LAGUNA -> LAS TOSCAS->POR EL SOCORRO,52,ZONA METROPOLITANA,ZONA CENTRO,CABILDO,TITSA
53,LA LAGUNA-GUAMASA-GARIMBA,,ZONA METROPOLITANA,ZONA CENTRO,CABILDO,TITSA
54,54 - LA LAGUNA -> RAVELO ->POR AGUA GARCÍA,54,INTERURBANO LL,ZONA CENTRO,CABILDO,TITSA
55,55- LA LAGUNA - BARRANCO GRANDE,55,ZONA METROPOLITANA,ZONA CENTRO,CABILDO,TITSA
56,56 - LA LAGUNA -> BCO.GRANDE->POR LLANO DEL MORO,56,ZONA METROPOLITANA,ZONA CENTRO,CABILDO,TITSA
57,57 - < > 51  CIRCULAR LA LAGUNA -> TEJINA - TACORO,57,ZONA METROPOLITANA,ZONA CENTRO,CABILDO,TITSA
60,LA LAGUNA-LLANO EL MORO,,ZONA METROPOLITANA,ZONA CENTRO,CABILDO,TITSA
62,LA LAGUNA->LA OROTAVA-> POR LA COMARCA DE ACENTEJO,,LARGO RECORRIDO C <-> N,LARGO RECORRIDO,CABILDO,TITSA
71,LA LAGUNA-LAS MERCEDES(POR EL CAMINO),,ZONA METROPOLITANA,ZONA CENTRO,CABILDO,TITSA
73,LA LAGUNA-CRUZ DEL CARMEN,,ZONA METROPOLITANA,ZONA CENTRO,CABILDO,TITSA
74,LA LAGUNA-EL BATAN,,ZONA METROPOLITANA,ZONA CENTRO,CABILDO,TITSA
75,LA LAGUNA-CARBONERAS-TABORNO,,ZONA METROPOLITANA,ZONA CENTRO,CABILDO,TITSA
76,76 - LA LAGUNA -> CARBONERAS -> AFUR,76,ZONA METROPOLITANA,ZONA CENTRO,CABILDO,TITSA
77,77 - LA LAGUNA -> EL BAILADERO -> POR LAS MERCEDES,77,ZONA METROPOLITANA,ZONA CENTRO,CABILDO,TITSA
100,100 - SANTA CRUZ -> PUERTO DE LA CRUZ (DIRECTA),100,LARGO RECORRIDO C <-> N,LARGO RECORRIDO,CABILDO,TITSA
101,101 - LA LAGUNA -> LA OROTAVA(POR CTRA.GENENERAL),101,LARGO RECORRIDO C <-> N,LARGO RECORRIDO,CABILDO,TITSA
102,102 - SANTA CRUZ -> PUERTO DE LA CRUZ (POR LAS ARE,102,LARGO RECORRIDO C <-> N,LARGO RECORRIDO,CABILDO,TITSA
104,104 - SANTA CRUZ -> PUERTO DE LA CRUZ (POR TACORON,104,LARGO RECORRIDO C <-> N,LARGO RECORRIDO,CABILDO,TITSA
105,105 - SANTA CRUZ -> PUNTA DEL HIDALGO-POR LA LAGUN,105,ZONA METROPOLITANA,ZONA CENTRO,CABILDO,TITSA
106,106 - SANTA CRUZ -> ICOD DE LOS VINOS(express),106,LARGO RECORRIDO C <-> N,LARGO RECORRIDO,CABILDO,TITSA
107,107 - SANTA CRUZ -> BUENAVISTA( POR AEROPUERTO NOR,107,LARGO RECORRIDO C <-> N,LARGO RECORRIDO,CABILDO,TITSA
108,108 - SANTA CRUZ -> LA OROTAVA -> LOS REALEJOS,108,LARGO RECORRIDO C <-> N,LARGO RECORRIDO,CABILDO,TITSA
110,110 - SANTA CRUZ -> COSTA ADEJE (expess),110,LARGO RECORRIDO C <-> S,LARGO RECORRIDO,CABILDO,TITSA
111,111 - SANTA CRUZ-> LOS CRISTIANOS - COSTA ADEJE,111,LARGO RECORRIDO C <-> S,LARGO RECORRIDO,CABILDO,TITSA
112,112 - SANTA CRUZ - LOS CRISTIANOS,112,LARGO RECORRIDO C <-> S,LARGO RECORRIDO,CABILDO,TITSA
114,114 - SANTA CRUZ -> ENLACE GÜÍMAR -> SAN ISIDRO,114,,OTRO,OTRO,OTRO
116,SANTA CRUZ-GRANADILLA(POR EL MEDANO),,LARGO RECORRIDO C <-> S,LARGO RECORRIDO,CABILDO,TITSA
120,120 - SANTA CRUZ -> GÜIMAR-POR CANDELARIA Y PUERTI,120,INTERURBANO SC,ZONA CENTRO,CABILDO,TITSA
121,121-GÜIMAR->ARAFO->POLÍGONO DE GÜIMAR->CANDELARIA,121,INTERURBANO SC,ZONA CENTRO,CABILDO,TITSA
122,122 - SANTA CRUZ ->LAS CALETILLAS-> CANDELARIA Y P,122,INTERURBANO SC,ZONA CENTRO,CABILDO,TITSA
123,123 - SANTA CRUZ -> ARAYA-> POR LAS CALETILLAS Y C,123,INTERURBANO SC,ZONA CENTRO,CABILDO,TITSA
124,124 - SANTA CRUZ -> GÜIMAR->POR CANDELARIA Y POLÍG,124,INTERURBANO SC,ZONA CENTRO,CABILDO,TITSA
125,SANTA CRUZ-GRAN,,INTERURBANO SC,ZONA CENTRO,CABILDO,TITSA
126,126 - CANDELARIA - GUAJARA(UNIVERSIDAD) - H.U. LA ,126,INTERURBANO SC,ZONA CENTRO,CABILDO,TITSA
127,127-GÜIMAR->CANDELARIA->BCO.HONDO->IGUESTE->ARAYA,127,INTERURBANO SC,ZONA CENTRO,CABILDO,TITSA
130,SANTA CRUZ-VILL,,INTERURBANO SC,ZONA CENTRO,CABILDO,TITSA
131,131 - SANTA CRUZ -> IGUESTE DE CANDELARIA- POR LAS,131,INTERURBANO SC,ZONA CENTRO,CABILDO,TITSA
137,137 - TACORONTE - LA LAGUNA,137,ZONA METROPOLITANA,ZONA CENTRO,CABILDO,TITSA
138,138 - SANTA CRUZ -> TABAIBA BAJA->POR RADAZUL,138,ZONA METROPOLITANA,ZONA CENTRO,CABILDO,TITSA
139,139 - SANTA CRUZ -> TABAIBA BAJA->POR RADAZUL ,139,ZONA METROPOLITANA,ZONA CENTRO,CABILDO,TITSA
140,S/C-ANAZA-ACORAN,,ZONA METROPOLITANA,ZONA CENTRO,CABILDO,TITSA
141,S/C-ANAZA-B.CANGREJO,,ZONA METROPOLITANA,ZONA CENTRO,CABILDO,TITSA
142,142 - SANTA CRUZ -> URB. AÑAZA-> URB. ACORÁN-> BAR,142,ZONA METROPOLITANA,ZONA CENTRO,CABILDO,TITSA
201,201 - INTERCAMBIADOR -> LA VERDELLADA -> INTERCAMB,201,URBANO LL,ZONA CENTRO,URBANO LL,TITSA
204,204 - INT.-P. DEL CRISTO-EL BRONCO-LOMO LARGO-EL R,204,URBANO LL,ZONA CENTRO,URBANO LL,TITSA
206,206 - LA VERDELLADA- PLAZA DEL CRISTO- RANCH,206,URBANO LL,ZONA CENTRO,URBANO LL,TITSA
217,217 -INTERCAMBIADOR->LOS ANDENES-EL CARDONAL-H.U.C,217,URBANO LL,ZONA CENTRO,URBANO LL,TITSA
218,218 - CIRCULAR INT.LL-> HUC-CARDONAL-LOSANDENES,218,URBANO LL,ZONA CENTRO,URBANO LL,TITSA
219,219- INTERCAMBIADOR->EL CARDONAL->TACO->SAN MATIAS,219,URBANO LL,ZONA CENTRO,URBANO LL,TITSA
224,224-INTERCAMBIADOR-V.GUERRA-TEJINA POR EL BOQUERON,224,URBANO LL,ZONA CENTRO,URBANO LL,TITSA
228,228 - SANTA CRUZ -> LOS CAMPITOS-POR LA CUESTA ,228,ZONA METROPOLITANA,ZONA CENTRO,CABILDO,TITSA
229,SANTA CRUZ-LA C,,ZONA METROPOLITANA,ZONA CENTRO,CABILDO,TITSA
230,SANTA CRUZ-LA LAG,,ZONA METROPOLITANA,ZONA CENTRO,CABILDO,TITSA
232,232 - SANTA CRUZ -> EL CARDONAL-LA GALLEGA ,232,ZONA METROPOLITANA,ZONA CENTRO,CABILDO,TITSA
233,233 - SANTA CRUZ -> EL CARDONAL ->FINCA ESPAÑA  ,233,ZONA METROPOLITANA,ZONA CENTRO,CABILDO,TITSA
238,238 - SANTA CRUZ -> SAN MATIAS - POR CHAMBERÍ ,238,ZONA METROPOLITANA,ZONA CENTRO,CABILDO,TITSA
253,253 -INTERCAMBIADOR -> GUAMASA -> GARIMBA ,253,URBANO LL,ZONA CENTRO,URBANO LL,TITSA
260,260 - INTERCAMBIADOR ->LOS BALDÍOS-> EL CEN,260,URBANO LL,ZONA CENTRO,URBANO LL,TITSA
270,270-INTERCAMBIADOR-LAS MERCEDES (POR LAS CANTERAS),270,URBANO LL,ZONA CENTRO,URBANO LL,TITSA
271,271-INTERCAMBIADOR-EL CAMINO-CRUZ DE ÁLAMOS-LAS ME,271,URBANO LL,ZONA CENTRO,URBANO LL,TITSA
273,273-INTERCAMBIADOR->CRUZ DEL CARMEN(POR LAS MERCED,273,URBANO LL,ZONA CENTRO,URBANO LL,TITSA
274,274 - INTERCAMBIADOR->EL BATÁN -> POR LAS MERCEDES,274,URBANO LL,ZONA CENTRO,URBANO LL,TITSA
310,310 - LA OROTAVA- UNIVERSIDAD - HOSPITALES,310,LARGO RECORRIDO C <-> N,LARGO RECORRIDO,CABILDO,TITSA
311,311 - SANTA CRUZ-BUENAVISTA,311,LARGO RECORRIDO C <-> N,LARGO RECORRIDO,CABILDO,TITSA
325,325 - PUERTO DE LA CRUZ -> A. LOS GIGANTES- POR IC,325,LARGO RECORRIDO N <-> S,LARGO RECORRIDO,CABILDO,TITSA
330,330 - (CIRCUNVALACIÓN)LOS REALEJOS – SAN VICENTE –,330,ZONA NORTE,ZONA NORTE,CABILDO,TITSA
335,335 - EL LOMO - PUERTO DE LA CRUZ,LOMO-PUERT,ZONA NORTE,ZONA NORTE,CABILDO,TITSA
339,339 - PUERTO DE LA CRUZ -> REALEJO ALTO(CIRCUNVALA,339,ZONA NORTE,ZONA NORTE,CABILDO,TITSA
341,341 - PARADOR DEL TEIDE->TELEFERICO->EL PORTILLO,PARTELPORT,ZONA NORTE,ZONA NORTE,CABILDO,TITSA
342,342 - COSTA ADEJE ->CAÑADAS DEL TEIDE-> EL PORTILL,342,LARGO RECORRIDO N <-> S,LARGO RECORRIDO,CABILDO,TITSA
343,343 - PTO. CRUZ <->LOS CRISTIANOS(Por Aeropuertos,343,LARGO RECORRIDO N <-> S,LARGO RECORRIDO,CABILDO,TITSA
345,345 - PTO. DE LA  CRUZ -> OROTAVA-AGUAMANSA  ,345,ZONA NORTE,ZONA NORTE,CABILDO,TITSA
19,LA LAGUNA-EL CARDONAL-SAN MATIAS,,ZONA METROPOLITANA,ZONA CENTRO,CABILDO,TITSA
33,33 - GÜIMAR -> FASNIA-> LA SOMBRERA  ,33,ZONA SUR,ZONA SUR,CABILDO,TITSA
50,50 - LA LAGUNA -> TEGUESTE -BAJAMAR- PUNTA DEL HID,50,ZONA METROPOLITANA,ZONA CENTRO,CABILDO,TITSA
70,LA LAGUNA-LAS MERCEDES (LAS CANTERAS),,ZONA METROPOLITANA,ZONA CENTRO,CABILDO,TITSA
103,103 - SANTA CRUZ -> PUERTO DE LA CRUZ(POR EL BOTAN,103,LARGO RECORRIDO C <-> N,LARGO RECORRIDO,CABILDO,TITSA
115,SANTA CRUZ - LAS GALLETAS,,LARGO RECORRIDO C <-> S,LARGO RECORRIDO,CABILDO,TITSA
128,128-SANTA CRUZ-LA HIDALGA-ARAFO-GUIMAR,128,INTERURBANO SC,ZONA CENTRO,CABILDO,TITSA
203,203 - INT. -> S. LÁZARO-> TORNERO-> GAVIAS-> SAN B,203,URBANO LL,ZONA CENTRO,URBANO LL,TITSA
231,231 - INTERCAMBIADOR-LA GALLEGA (DIRECTO) ,231,ZONA METROPOLITANA,ZONA CENTRO,CABILDO,TITSA
275,275- INTERCAMBIADOR -> LAS CARBONERAS - TABORNO,275,URBANO LL,ZONA CENTRO,URBANO LL,TITSA
344,344 - CRUZ SANTA - PUERTO CRUZ,344,ZONA NORTE,ZONA NORTE,CABILDO,TITSA
355,355 - BUENAVISTA -> MASCA -> VALLE SANTIAGO  ,355,ZONA NORTE,ZONA NORTE,CABILDO,TITSA
368,368 - ICOD - BUENAVISTA,368,ZONA NORTE,ZONA NORTE,CABILDO,TITSA
391,391 - PUERTO DE LA CRUZ -> REALEJO ALTO ->POR SAN ,391,ZONA NORTE,ZONA NORTE,CABILDO,TITSA
418,418 -ESTACIÓN COSTA ADEJE-LOS CRISTIANOS-VALLE SAN,418,ZONA SUR,ZONA SUR,CABILDO,TITSA
451,451-COSTA ADEJE - AEROPUERTO S,451,ZONA SUR,ZONA SUR,CABILDO,TITSA
471,471 - LOS CRISTIANOS - ESTACIÓN COSTA ADEJE - PLAY,471,ZONA SUR,ZONA SUR,CABILDO,TITSA
485,GRANADILLA-EL SALTO,,ZONA SUR,ZONA SUR,CABILDO,TITSA
535,GUIMAR - GRANADILLA (CTRA. GRAL.),,ZONA SUR,ZONA SUR,CABILDO,TITSA
705,SANTA CRUZ-PUNTA DEL HIDALGO (NOC),,LARGO RECORRIDO C <-> N,LARGO RECORRIDO,CABILDO,TITSA
901,901 - INTERCAMBIADOR - B.SALUD (CUESTA PIEDRA) (PO,901,URBANO SC,ZONA CENTRO,URBANO SC,TITSA
912,912 - INTERCAMBIADOR -> IFARA-> LOS CAMPITOS  ,912,URBANO SC,ZONA CENTRO,URBANO SC,TITSA
933,933 - TACO - BCO. GRANDE - CRUCE STA. MARIA - EL T,933,URBANO SC,ZONA CENTRO,URBANO SC,TITSA
946,946 - SANTA CRUZ - SAN ANDRES - TAGANANA - ALMÁCIG,946,URBANO SC,ZONA CENTRO,URBANO SC,TITSA
8002,AYUNTAMIENTO-IGUESTE,,TAXI,OTRO,OTRO,OTRO
9402,PARKING 2 CAJERO AUTOMATICO S/C,,PARKING,OTRO,OTRO,OTRO
9413,(ten+Movil) Tarifa Urbanas LaLaguna  (QR Conductor,,URBANO LL,ZONA CENTRO,URBANO LL,TITSA
