dispositivo;sexo;edad;intervalo_edad;nivel_educativo;zona;municipio;distrito;habitantes;P1#1;P1#2;P1#3;P1#4;P1#5;P1#6;P1#7;P1#97;P2#1;P2#2;P2#3;P2#4;P2#5;P2#6;P2#96;P2#96#value;P3_1;P3_2;P3_3;P3_4;P3_5;P3_6;P4_1;P4_2;P4_3;P4_4;P4_5;P4_6;P4_7;P4_8;P5;P6;P7;P8#1;P8#2;P8#3;P8#4;P8#5;P8#6;P8#7;P8#8;P8#9;P8#10;P8#11;P9_1;P9_2;P9_3;P9_4;P9_5;P9_6;P9_7;P9_8;P9_9;P9R_1;P9R_2;P9R_3;P10_1;P10_2;P10_3;P10_4;P10_5;P10_6;P10_7;P11;P12;P13_1;P13_2;P13_3;P13_4;P13_5;P13_6;P13_7;P13_8;P13_9;P14_1;P14_2;P15_1;P15_2;P15_3;P16_4;P16_5;P16_6;P16_7;P17_1;P17_2;P17_3;P17_4;P17_5;P18_1;P18_2;P18_3;P18_4;P18_5;P18_6;P18_7;P18_8;P18_9;P19;P20;P21;P22;CAMBIO_20240717;CAMBIO_20240723;CAMBIO_20240724
Mobile;Femenino;45;45_54;Tercer Grado (Máster);Madrid Oeste;Alpedrete;;10.001-20.000;0;0;1;1;0;0;1;0;0;1;1;0;0;1;0;;8;5;8;7;9;3;9;10 Me interesa muchísimo;6;8;7;7;6;8;9;Hace menos de 3 meses;Resto España;0;0;0;0;0;0;0;1;0;0;0;;;;;2,0;;3,0;1;;Por su belleza;Que me lo hayan recomendado;Por el valor histórico;9;9;7;5;8;8;8;8;Las costumbres de la zona;Sí;Sí;Sí;No;No;Sí;No;No;No;Nunca;Nunca;Sí, soy aficionado;No lo conozco, pero soy curioso y me podría interesar;No lo conozco, pero soy curioso y me podría interesar;;;Hace más de 5 años;;9;2;9;7;8;5;5;7;;;7;;;;No lo se;Trabajo;Sí, tengo menores/s de edad a mi cargo;Superiores;1,0;;
Mobile;Femenino;66;65_+;Segundo Grado. 1er Ciclo (Graduado escolar, o EGB 2ª etapa, 1º y 2º ESO-1er ciclo- hasta 14 años);Madrid Sur;Valdemoro;;50.001-100.000;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;;10 Me interesa muchísimo;7;8;9;9;7;9;8;6;8;8;8;6;7;10 Es muy importante;Hace menos de 3 meses;Resto España;1;0;0;0;0;0;0;0;0;0;0;;;;;;3;1,0;2;;Por el valor histórico;Por su belleza;Que sea gratuito;8;8;7;7;8;8;8;8;Me gusta;No;Sí;Sí;No;No;Sí;No;No;No;Hace 1 mes o menos;Hace entre 1 y 5 años;Sí, soy aficionado;No lo conozco, pero soy curioso y me podría interesar;No lo conozco, pero soy curioso y me podría interesar;;;En el último año;;5;8;8;5;6;;4;3;;;8;;;;Los antiguos oficios;Jubilado/a o pensionista (anteriormente he trabajado);No;Alrededor de esa cifra;;;
Mobile;Femenino;36;35_44;Licenciatura, Grado. 2º Ciclo (Universitarios, Licenciados superior, Facultades, Escuelas técnicas superiores, etc;Madrid Capital;;Salamanca;;1;1;1;0;1;1;1;0;1;0;0;0;0;0;0;;7;5;7;6;7;5;7;7;7;6;7;6;5;6;10 Es muy importante;Hace menos de 3 meses;Extranjero;1;0;0;0;0;0;0;0;0;0;0;;;;;;2;1,0;3;;Por el valor histórico;Que sea gratuito;Por su belleza;8;8;8;8;8;8;8;7;No sé que es;Sí;Sí;Sí;No;No;Sí;No;No;No;Hace 1 mes o menos;Nunca;Estoy interesado y me gustaría que hubiera más actividades relacionadas;No lo conozco, pero soy curioso y me podría interesar;No lo conozco, pero soy curioso y me podría interesar;;;Hace 1 año, pero menos de 5;;6;6;6;5;6;7;6;6;;;6;;;;No sé;Trabajo;Sí, tengo menores/s de edad a mi cargo;Superiores;;;
Mobile;Masculino;50;45_54;Licenciatura, Grado. 2º Ciclo (Universitarios, Licenciados superior, Facultades, Escuelas técnicas superiores, etc;Madrid Norte;San Sebastián de los Reyes;;50.001-100.000;0;0;1;0;0;1;0;0;1;1;0;1;0;0;0;;9;8;8;7;8;2;9;8;5;8;6;6;6;4;9;Hace menos de 3 meses;Resto Comunidad de Madrid;0;0;0;1;0;0;0;1;0;0;0;1;;;;;3;2,0;;;Que esté cerca;Por el valor histórico;Que sea gratuito;7;8;8;7;8;8;6;5;Conceptos, tradiciones, modos;Sí;Sí;Sí;No;No;Sí;No;No;No;Hace más de 5 años;Hace más de 5 años;Estoy interesado y me gustaría que hubiera más actividades relacionadas;No lo conozco, pero soy curioso y me podría interesar;Estoy interesado y me gustaría que hubiera más actividades relacionadas;;;Hace más de 5 años;;7;7;7;7;5;6;8;4;;;6;;;;Los toros no;Trabajo;No;Muy superiores (más del doble);;;
Desktop;Masculino;35;35_44;Tercer Grado (Máster);Madrid Capital;;Chamartín;;1;0;0;1;1;0;1;0;1;1;0;0;0;1;0;;9;9;6;8;9;2;10 Me interesa muchísimo;9;8;9;5;3;6;6;10 Es muy importante;Hace menos de 3 meses;Madrid capital;0;0;0;0;0;0;0;1;0;0;0;;;;;3,0;;2,0;1;;Por su belleza;Por el valor histórico;Que me lo hayan recomendado;10 Totalmente necesario;10 Totalmente necesario;8;10 Totalmente necesario;10 Totalmente necesario;10 Totalmente necesario;9;9;tradiciones, música, gastronomía...;Sí;Sí;Sí;Sí;No;Sí;No;No;Sí;Nunca;Nunca;No lo conozco, pero soy curioso y me podría interesar;No estoy interesado;No lo conozco, pero soy curioso y me podría interesar;Nunca;;En el último año;;10 Estoy muy de acuerdo;8;10 Estoy muy de acuerdo;7;9;8;8;3;5;;10 Excelente fomento y protección;;;3;no se me ocurre nada;Trabajo;Sí, tengo menores/s de edad a mi cargo;Muy superiores (más del doble);;;
Desktop;Femenino;47;45_54;Tercer Grado (Máster);Madrid Este;Daganzo de Arriba;;Hasta 10.000;0;1;1;1;0;0;1;0;1;0;0;0;0;0;0;;8;6;6;7;9;7;6;7;5;7;6;6;5;6;10 Es muy importante;Hace menos de 3 meses;Extranjero;1;0;0;0;0;1;0;0;0;0;0;;;;;;1;3,0;2;;Que sea gratuito;Por su belleza;Por el valor histórico;7;8;6;5;10 Totalmente necesario;6;5;8;Que no se puede cuantificar;Sí;No;Sí;No;No;Sí;No;No;No;Nunca;Hace entre 1 y 5 años;No estoy interesado;No lo conozco, pero soy curioso y me podría interesar;No lo conozco, pero soy curioso y me podría interesar;;;Hace más de 5 años;;8;8;7;7;8;8;;6;;;8;;;;--;Trabajo;Sí, tengo menores/s de edad a mi cargo;Muy superiores (más del doble);1,0;;
Mobile;Femenino;24;18_24;Segundo Grado. 1er Ciclo (Graduado escolar, o EGB 2ª etapa, 1º y 2º ESO-1er ciclo- hasta 14 años);Madrid Capital;;Villaverde;;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;;1;7;7;0 No me interesa en absoluto;7;4;9;4;5;9;6;3;4;6;6;Hace menos de 3 meses;Madrid capital;1;0;1;0;0;0;0;0;0;1;0;3;;;;;2;;1;;Por su belleza;Que sea gratuito;Que esté cerca;2;2;1;3;3;4;3;2;Ni idea;Sí;Sí;No;No;No;Sí;No;No;No;Hace entre 1 y 5 años;Hace entre 1 y 5 años;No lo conozco, pero soy curioso y me podría interesar;Estoy interesado y me gustaría que hubiera más actividades relacionadas;Estoy interesado y me gustaría que hubiera más actividades relacionadas;;;Hace más de 5 años;;5;4;5;5;4;5;3;;;;6;;;;Las personas;Estudio;No;Alrededor de esa cifra;;;
Desktop;Masculino;47;45_54;Tercer Grado (Máster);Madrid Oeste;Galapagar;;20.001-50.000;0;0;0;1;0;0;0;0;1;1;0;0;0;1;0;;7;8;5;8;8;2;5;4;3;8;5;4;3;4;8;De 1 a 3 años;Resto España;0;0;1;0;0;0;0;1;1;0;0;;;;;2,0;;3,0;1;;Por su belleza;Que me lo hayan recomendado;Por el valor histórico;7;5;8;7;7;9;5;7;cultura no tangible, musica, tradiciones;Sí;Sí;Sí;No;No;Sí;No;No;No;Hace entre 1 y 5 años;Hace más de 5 años;No estoy interesado;No estoy interesado;No estoy interesado;;;Hace más de 5 años;;6;2;6;8;3;5;7;2;;;8;;;;No se más alla de los comentados en la encuesta;Trabajo;Sí, tengo menores/s de edad a mi cargo;Muy superiores (más del doble);;;
Mobile;Femenino;38;35_44;Segundo Grado. 1er Ciclo (Graduado escolar, o EGB 2ª etapa, 1º y 2º ESO-1er ciclo- hasta 14 años);Madrid Sur;Móstoles;;100.001-500.000;1;1;1;1;0;0;1;0;1;1;1;0;0;1;0;;3;2;2;4;5;7;5;4;9;5;5;2;2;5;8;Hace más de 3 años;Resto España;0;0;0;0;0;0;0;1;0;0;0;3;1,0;;;2,0;;;;;Que ofrezca actividades para toda la familia;Que me lo hayan recomendado;Que esté cerca;8;5;5;2;5;9;9;5;No lo se;Sí;Sí;Sí;No;No;Sí;No;No;No;Hace 1 mes o menos;Hace más de 1 mes, pero menos de 1 año;Estoy interesado y me gustaría que hubiera más actividades relacionadas;No lo conozco, pero soy curioso y me podría interesar;No lo conozco, pero soy curioso y me podría interesar;;;Hace 1 año, pero menos de 5;;8;4;8;7;5;5;8;5;;;7;;;;No se;Trabajo;Sí, tengo menores/s de edad a mi cargo;Muy superiores (más del doble);1,0;;
Mobile;Femenino;34;25_34;Licenciatura, Grado. 2º Ciclo (Universitarios, Licenciados superior, Facultades, Escuelas técnicas superiores, etc;Madrid Oeste;Collado Villalba;;50.001-100.000;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;;7;6;8;7;8;5;7;8;7;8;7;6;7;8;9;Hace menos de 3 meses;Resto España;0;0;1;0;0;0;0;1;0;0;0;;;1,0;;;;;2;;Que sea Patrimonio Mundial;Por su belleza;;9;7;8;8;7;9;8;7;Patrimonio que no sea material. Puede ser conocimientos;Sí;Sí;Sí;No;No;Sí;No;No;No;Hace entre 1 y 5 años;Hace más de 5 años;No estoy interesado;No estoy interesado;No estoy interesado;;;Nunca;;6;6;5;5;5;5;5;5;;;5;;;;No se;Trabajo;No;Superiores;1,0;;
Mobile;Femenino;30;25_34;Licenciatura, Grado. 2º Ciclo (Universitarios, Licenciados superior, Facultades, Escuelas técnicas superiores, etc;Madrid Capital;;Salamanca;;1;0;1;1;0;0;1;0;1;1;0;0;0;1;0;;4;6;2;6;9;9;8;8;8;8;4;4;3;7;10 Es muy importante;Hace menos de 3 meses;Madrid capital;1;0;0;0;0;0;1;1;0;0;0;;;;;3,0;1;;2;;Que sea gratuito;Por su belleza;Que me lo hayan recomendado;6;6;7;4;4;9;2;6;Cultura;Sí;Sí;Sí;No;No;Sí;No;Sí;No;Hace 1 mes o menos;Hace entre 1 y 5 años;No estoy interesado;No estoy interesado;No estoy interesado;;;En el último año;;5;5;5;7;6;8;7;5;;;7;;4;;No lo se;Trabajo;No;Superiores;;;
Desktop;Femenino;36;35_44;Licenciatura, Grado. 2º Ciclo (Universitarios, Licenciados superior, Facultades, Escuelas técnicas superiores, etc;Madrid Capital;;Moncloa-Aravaca;;0;0;1;1;0;0;0;0;0;1;0;0;0;1;0;;7;5;6;5;7;4;5;6;5;5;5;5;4;5;6;De 1 a 3 años;Resto España;0;0;0;0;0;0;0;1;0;1;0;2;;;;3,0;1;;;;Que sea gratuito;Que esté cerca;Que me lo hayan recomendado;6;5;5;5;5;7;5;7;algo q es mas abstracto;Sí;Sí;No;No;No;Sí;No;No;No;Nunca;Hace entre 1 y 5 años;No estoy interesado;No estoy interesado;No estoy interesado;;;Nunca;;7;5;6;6;5;6;6;;;;6;;;;no se lo q es;Trabajo;Sí, tengo menores/s de edad a mi cargo;Superiores;;;
Mobile;Masculino;43;35_44;Tercer Grado. 1er Ciclo (Equivalente a Ingeniero técnico, 3 años, Escuelas universitarias, Ingenieros técnicos, Arquitec;Madrid Sur;Móstoles;;100.001-500.000;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;Amigos;7;5;4;6;6;3;7;7;6;8;4;5;5;6;7;Hace menos de 3 meses;Resto España;0;0;0;0;0;0;0;1;0;0;0;;;;;;1;3,0;2;;Que sea gratuito;Por su belleza;Por el valor histórico;7;7;7;5;7;7;7;5;Ns;Sí;No;Sí;No;No;Sí;No;Sí;No;Hace más de 1 mes, pero menos de 1 año;Hace entre 1 y 5 años;Estoy interesado y me gustaría que hubiera más actividades relacionadas;Estoy interesado y me gustaría que hubiera más actividades relacionadas;No lo conozco, pero soy curioso y me podría interesar;;;Hace 1 año, pero menos de 5;;8;0 No estoy de acuerdo en absoluto;6;6;7;7;;4;;;7;;3;;Chotis;Trabajo;Sí, tengo menores/s de edad a mi cargo;Muy superiores (más del doble);1,0;;
Desktop;Femenino;59;55_64;Segundo Grado. 2º Ciclo (FP Iº y IIº, Bachiller superior, BUP, 3º y 4º de ESO (2º ciclo) COU, PREU, 1º y 2º Bachillerato;Madrid Este;Rivas-Vaciamadrid;;50.001-100.000;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;;10 Me interesa muchísimo;9;7;9;9;9;9;9;7;10 Me interesa muchísimo;9;9;9;7;10 Es muy importante;Hace menos de 3 meses;Resto España;0;0;0;0;0;0;0;1;0;0;0;;;2,0;;;;1,0;3;;Por el valor histórico;Que sea Patrimonio Mundial;Por su belleza;9;10 Totalmente necesario;10 Totalmente necesario;9;10 Totalmente necesario;10 Totalmente necesario;10 Totalmente necesario;7;Tradiciones;Sí;Sí;Sí;No;No;Sí;No;No;Sí;Hace 1 mes o menos;Hace entre 1 y 5 años;No estoy interesado;No estoy interesado;No lo conozco, pero soy curioso y me podría interesar;;;Hace 1 año, pero menos de 5;;10 Estoy muy de acuerdo;4;9;9;9;7;4;6;;;9;;;7;No sé, considero que el actual gobierno de la Comunidad de Madrid no está especialmente interesado en fomentar ni proteger la cultura;Trabajo;No;Muy superiores (más del doble);;;
Mobile;Femenino;37;35_44;Segundo Grado. 2º Ciclo (FP Iº y IIº, Bachiller superior, BUP, 3º y 4º de ESO (2º ciclo) COU, PREU, 1º y 2º Bachillerato;Madrid Capital;;Latina;;1;1;1;0;1;0;0;0;0;1;0;0;0;0;0;;10 Me interesa muchísimo;2;7;6;7;7;8;7;5;7;5;4;6;5;9;De 3 meses a menos de 1 año;Resto España;0;0;0;0;0;0;0;1;0;0;0;;;;;;;1,0;;;Por el valor histórico;;;7;8;7;0 Nada necesario;8;8;7;7;Las costumbres;Sí;Sí;No;No;No;Sí;Sí;Sí;No;Hace entre 1 y 5 años;Hace más de 1 mes, pero menos de 1 año;No estoy interesado;Sí, soy aficionado;No estoy interesado;;;Hace más de 5 años;Nunca;8;8;8;8;8;8;7;;;;8;5;5;;Ninguno;Trabajo;No;Inferiores;;;
Mobile;Femenino;62;55_64;Segundo Grado. 2º Ciclo (FP Iº y IIº, Bachiller superior, BUP, 3º y 4º de ESO (2º ciclo) COU, PREU, 1º y 2º Bachillerato;Madrid Sur;Valdemoro;;50.001-100.000;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;;3;8;3;8;5;0 No me interesa en absoluto;0 No me interesa en absoluto;2;0 No me interesa en absoluto;0 No me interesa en absoluto;7;5;0 No me interesa en absoluto;0 No me interesa en absoluto;10 Es muy importante;De 1 a 3 años;Madrid capital;0;0;0;0;0;0;0;1;0;0;0;;;;;;2;3,0;1;;Por su belleza;Que sea gratuito;Por el valor histórico;10 Totalmente necesario;7;5;0 Nada necesario;5;10 Totalmente necesario;3;5;No lo sé, algo que no es material;Sí;Sí;No;No;No;Sí;No;No;No;Nunca;Nunca;No estoy interesado;No estoy interesado;No estoy interesado;;;Hace 1 año, pero menos de 5;;5;2;5;7;5;10 Excelente fomento y protección;10 Excelente fomento y protección;;;;7;;;;No se me ocurre nada;Trabajo;Sí, tengo menores/s de edad a mi cargo;Alrededor de esa cifra;;;
Mobile;Masculino;57;55_64;Segundo Grado. 2º Ciclo (FP Iº y IIº, Bachiller superior, BUP, 3º y 4º de ESO (2º ciclo) COU, PREU, 1º y 2º Bachillerato;Madrid Capital;;Hortaleza;;0;0;1;1;0;0;0;0;0;0;0;1;0;1;0;;10 Me interesa muchísimo;8;7;10 Me interesa muchísimo;10 Me interesa muchísimo;4;6;7;0 No me interesa en absoluto;7;0 No me interesa en absoluto;6;4;0 No me interesa en absoluto;10 Es muy importante;De 3 meses a menos de 1 año;Resto España;0;0;0;0;0;1;0;0;0;1;0;1;;;;;2;3,0;;;Que esté cerca;Que sea gratuito;Por el valor histórico;10 Totalmente necesario;10 Totalmente necesario;10 Totalmente necesario;10 Totalmente necesario;10 Totalmente necesario;10 Totalmente necesario;10 Totalmente necesario;10 Está muy bien conservado;bienes culturales publicos;Sí;Sí;Sí;No;No;Sí;No;Sí;No;Hace más de 1 mes, pero menos de 1 año;Hace más de 5 años;No lo conozco, pero soy curioso y me podría interesar;No lo conozco, pero soy curioso y me podría interesar;No lo conozco, pero soy curioso y me podría interesar;;;Hace más de 5 años;;10 Estoy muy de acuerdo;10 Estoy muy de acuerdo;6;10 Estoy muy de acuerdo;5;8;10 Excelente fomento y protección;4;;;10 Excelente fomento y protección;;7;;fiestas del P.C.E;Trabajo;No;Superiores;;;
Mobile;Masculino;52;45_54;Licenciatura, Grado. 2º Ciclo (Universitarios, Licenciados superior, Facultades, Escuelas técnicas superiores, etc;Madrid Este;Coslada;;50.001-100.000;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;Ninguno;4;3;5;4;5;3;5;3;2;5;2;2;2;3;7;De 1 a 3 años;Resto España;0;0;0;0;0;0;0;1;0;0;0;;;;;2,0;1;3,0;;;Que sea gratuito;Que me lo hayan recomendado;Por el valor histórico;3;2;3;3;3;3;3;3;No lo sé;No;No;No;No;No;No;No;No;No;Nunca;Nunca;No estoy interesado;No estoy interesado;No estoy interesado;;;;;3;3;3;5;2;;;;;;;;;;Todos;Trabajo;Sí, tengo menores/s de edad a mi cargo;Alrededor de esa cifra;1,0;;
Desktop;Masculino;50;45_54;Segundo Grado. 2º Ciclo (FP Iº y IIº, Bachiller superior, BUP, 3º y 4º de ESO (2º ciclo) COU, PREU, 1º y 2º Bachillerato;Madrid Capital;;Chamberí;;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;;7;8;7;8;8;2;8;8;7;7;3;4;6;7;8;Hace menos de 3 meses;Madrid capital;0;1;0;0;0;0;0;0;0;0;0;;;;;;2;3,0;1;;Por su belleza;Que sea gratuito;Por el valor histórico;6;6;7;7;6;7;6;8;El que no se puede tocar;No;No;No;No;No;Sí;No;No;No;Nunca;Nunca;No estoy interesado;No estoy interesado;No estoy interesado;;;En el último año;;8;4;6;7;7;;;;;;7;;;;Ahora mismo no se me ocurre ninguno;Trabajo;No;Superiores;;;
Desktop;Femenino;43;35_44;Segundo Grado. 2º Ciclo (FP Iº y IIº, Bachiller superior, BUP, 3º y 4º de ESO (2º ciclo) COU, PREU, 1º y 2º Bachillerato;Madrid Oeste;Guadarrama;;10.001-20.000;0;0;0;1;0;0;1;0;0;1;0;1;0;1;0;;10 Me interesa muchísimo;6;9;9;9;9;10 Me interesa muchísimo;9;10 Me interesa muchísimo;7;10 Me interesa muchísimo;7;6;9;10 Es muy importante;De 3 meses a menos de 1 año;Resto España;1;0;1;0;0;0;0;1;0;0;0;;;;;;1;3,0;;2,0;Que sea gratuito;Que forme parte de una tradición con la que me identifique;Por el valor histórico;7;10 Totalmente necesario;9;2;9;9;10 Totalmente necesario;7;Todo lo nuestro, las costumbres y tradiciones;Sí;Sí;Sí;No;No;Sí;No;Sí;No;Hace entre 1 y 5 años;Hace 1 mes o menos;Estoy interesado y me gustaría que hubiera más actividades relacionadas;No lo conozco, pero soy curioso y me podría interesar;No lo conozco, pero soy curioso y me podría interesar;;;En el último año;;10 Estoy muy de acuerdo;10 Estoy muy de acuerdo;10 Estoy muy de acuerdo;10 Estoy muy de acuerdo;10 Estoy muy de acuerdo;10 Excelente fomento y protección;10 Excelente fomento y protección;10 Excelente fomento y protección;;;10 Excelente fomento y protección;;10 Excelente fomento y protección;;La zarzuela;Trabajo;Sí, tengo menores/s de edad a mi cargo;Alrededor de esa cifra;1,0;;
Mobile;Femenino;51;45_54;Licenciatura, Grado. 2º Ciclo (Universitarios, Licenciados superior, Facultades, Escuelas técnicas superiores, etc;Madrid Capital;;Latina;;1;1;0;1;0;0;1;0;1;1;0;0;0;1;0;;8;8;7;7;8;7;8;7;3;7;8;8;5;6;9;De 1 a 3 años;Extranjero;0;1;0;0;0;0;0;1;0;0;0;;;3,0;;;;1,0;2;;Por el valor histórico;Por su belleza;Que sea Patrimonio Mundial;6;7;6;5;7;7;6;6;Que pertenece a todas las personas y no tiene por qué ser algo físico;Sí;Sí;Sí;Sí;No;Sí;No;Sí;No;Hace 1 mes o menos;Hace más de 5 años;No estoy interesado;No lo conozco, pero soy curioso y me podría interesar;No lo conozco, pero soy curioso y me podría interesar;Nunca;;Hace 1 año, pero menos de 5;;9;5;8;8;8;7;9;5;5;;8;;5;;El arte urbano;Trabajo;No;Alrededor de esa cifra;;;
Desktop;Masculino;56;55_64;Tercer Grado (Máster);Madrid Capital;;Centro;;0;0;0;1;1;1;1;0;1;1;1;1;1;1;0;;8;9;0 No me interesa en absoluto;10 Me interesa muchísimo;9;5;9;9;8;9;8;8;9;9;10 Es muy importante;Hace menos de 3 meses;Madrid capital;0;0;0;0;0;0;0;1;0;0;0;;;;;;;2,0;3;1,0;Que forme parte de una tradición con la que me identifique;Por el valor histórico;Por su belleza;6;6;6;6;6;6;6;8;si;No;Sí;Sí;No;No;Sí;No;Sí;No;Hace 1 mes o menos;Hace más de 5 años;Sí, soy aficionado;Sí, soy aficionado;No lo conozco, pero soy curioso y me podría interesar;;;En el último año;;8;0 No estoy de acuerdo en absoluto;7;9;7;;10 Excelente fomento y protección;9;;;10 Excelente fomento y protección;;9;;pendiente;Trabajo;No;Bastante inferiores (menos de la mitad);;;
Mobile;Femenino;48;45_54;Licenciatura, Grado. 2º Ciclo (Universitarios, Licenciados superior, Facultades, Escuelas técnicas superiores, etc;Madrid Este;Alcalá de Henares;;100.001-500.000;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;;10 Me interesa muchísimo;9;9;10 Me interesa muchísimo;9;0 No me interesa en absoluto;5;7;0 No me interesa en absoluto;6;4;4;4;1;10 Es muy importante;De 3 meses a menos de 1 año;Resto España;0;0;0;1;0;0;0;0;0;0;0;2;;;;3,0;;;1;;Por su belleza;Que esté cerca;Que me lo hayan recomendado;10 Totalmente necesario;10 Totalmente necesario;9;8;10 Totalmente necesario;10 Totalmente necesario;8;9;Que son actuaciones, representaciones,...algo no tangible;Sí;Sí;No;No;No;Sí;No;No;No;Nunca;Nunca;No lo conozco, pero soy curioso y me podría interesar;No lo conozco, pero soy curioso y me podría interesar;No lo conozco, pero soy curioso y me podría interesar;;;Hace más de 5 años;;9;5;10 Estoy muy de acuerdo;9;8;6;9;;;;10 Excelente fomento y protección;;;;Música en general;Trabajo;No;Alrededor de esa cifra;1,0;;
Desktop;Masculino;55;55_64;Segundo Grado. 1er Ciclo (Graduado escolar, o EGB 2ª etapa, 1º y 2º ESO-1er ciclo- hasta 14 años);Madrid Sur;Arroyomolinos;;20.001-50.000;0;0;1;0;0;0;1;0;1;1;0;1;0;0;0;;2;6;7;2;5;5;8;8;7;9;6;4;3;9;10 Es muy importante;Hace menos de 3 meses;Resto España;0;0;0;0;0;0;0;1;0;0;0;;;;2,0;;1;;;3,0;Que sea gratuito;Que aparezca en las guías;Que forme parte de una tradición con la que me identifique;8;4;7;8;2;8;10 Totalmente necesario;7;tradiciones;Sí;Sí;No;No;Sí;Sí;No;No;No;Hace más de 1 mes, pero menos de 1 año;Hace más de 1 mes, pero menos de 1 año;No lo conozco, pero soy curioso y me podría interesar;No lo conozco, pero soy curioso y me podría interesar;No lo conozco, pero soy curioso y me podría interesar;;Hace 1 año, pero menos de 5;En el último año;;9;8;8;9;9;4;2;;;2;4;;;;fiestas patronales y platos regionales;Trabajo;No;Superiores;1,0;;
Mobile;Masculino;63;55_64;Segundo Grado. 1er Ciclo (Graduado escolar, o EGB 2ª etapa, 1º y 2º ESO-1er ciclo- hasta 14 años);Madrid Este;Torrejón de Ardoz;;100.001-500.000;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;;7;7;6;6;8;2;7;7;6;7;7;6;4;7;8;Hace menos de 3 meses;Resto España;1;0;0;0;0;0;0;0;0;0;0;;;;;3,0;1;;2;;Que sea gratuito;Por su belleza;Que me lo hayan recomendado;6;6;6;6;5;8;6;7;Un patrimonio que no se puede tocar;Sí;Sí;Sí;No;No;Sí;No;No;No;Hace más de 1 mes, pero menos de 1 año;Hace entre 1 y 5 años;No estoy interesado;No estoy interesado;No lo conozco, pero soy curioso y me podría interesar;;;Nunca;;7;7;8;7;7;6;5;5;;;7;;;;No se;Otra situación;No;Alrededor de esa cifra;1,0;;
Desktop;Femenino;33;25_34;Tercer Grado (Máster);Madrid Capital;;Carabanchel;;1;1;1;1;0;0;0;0;1;1;0;0;1;0;0;;7;3;3;6;4;2;3;2;2;3;2;2;4;7;8;De 3 meses a menos de 1 año;Extranjero;1;0;1;0;0;0;0;0;0;0;0;;;3,0;;;2;1,0;;;Por el valor histórico;Que sea gratuito;Que sea Patrimonio Mundial;4;5;5;5;5;5;4;6;patrimonio no tangible;Sí;Sí;No;Sí;Sí;Sí;No;Sí;No;Hace más de 5 años;Hace más de 5 años;No lo conozco, pero soy curioso y me podría interesar;No estoy interesado;No estoy interesado;Nunca;Nunca;En el último año;;4;5;4;5;4;5;1;;5;4;2;;1;;todos los relacionados con la musica;Trabajo;No;Alrededor de esa cifra;;;
Mobile;Masculino;33;25_34;Segundo Grado. 2º Ciclo (FP Iº y IIº, Bachiller superior, BUP, 3º y 4º de ESO (2º ciclo) COU, PREU, 1º y 2º Bachillerato;Madrid Norte;Tres Cantos;;20.001-50.000;0;1;0;1;0;0;0;0;1;0;0;0;0;1;0;;7;7;7;8;9;6;8;9;6;9;6;7;6;6;9;Hace menos de 3 meses;Resto España;1;0;0;0;0;0;0;1;0;0;0;;;;;;2;1,0;3;;Por el valor histórico;Que sea gratuito;Por su belleza;8;7;9;7;8;9;8;8;Mmm... No se yo... Sin materia no hay patrimonio real;Sí;Sí;Sí;No;No;Sí;No;No;Sí;Hace 1 mes o menos;Nunca;No lo conozco, pero soy curioso y me podría interesar;No lo conozco, pero soy curioso y me podría interesar;Estoy interesado y me gustaría que hubiera más actividades relacionadas;;;Nunca;;9;8;9;9;6;7;8;5;;;6;;;3;La literatura;Trabajo;No;Inferiores;1,0;1,0;1,0
Desktop;Masculino;36;35_44;Licenciatura, Grado. 2º Ciclo (Universitarios, Licenciados superior, Facultades, Escuelas técnicas superiores, etc;Madrid Sur;Móstoles;;100.001-500.000;1;1;1;1;1;1;1;0;1;1;0;0;0;0;0;;9;9;6;8;9;7;10 Me interesa muchísimo;10 Me interesa muchísimo;3;10 Me interesa muchísimo;9;10 Me interesa muchísimo;8;9;10 Es muy importante;Hace menos de 3 meses;Resto España;0;0;1;1;0;0;0;1;0;0;0;;;;;;;1,0;2;;Por el valor histórico;Por su belleza;;10 Totalmente necesario;10 Totalmente necesario;10 Totalmente necesario;10 Totalmente necesario;10 Totalmente necesario;10 Totalmente necesario;10 Totalmente necesario;7;Patrimonio que no es tangible, una fiesta, un concepto, una costumbre;Sí;Sí;Sí;No;No;Sí;No;No;No;Hace entre 1 y 5 años;Nunca;Sí, soy aficionado;No lo conozco, pero soy curioso y me podría interesar;No lo conozco, pero soy curioso y me podría interesar;;;Hace 1 año, pero menos de 5;;8;7;8;6;7;8;5;4;;;7;;;;No lo sé;Trabajo;Sí, tengo persona/s mayor/es, persona/s con discapacidad o en situación de dependencia;Alrededor de esa cifra;1,0;;
