dispositivo;sexo;edad;intervalo_edad;nivel_educativo;zona;municipio;distrito;habitantes;P1#1;P1#2;P1#3;P1#4;P1#5;P1#6;P1#7;P1#97;P2#1;P2#2;P2#3;P2#4;P2#5;P2#6;P2#96;P2#96#value;P3_1;P3_2;P3_3;P3_4;P3_5;P3_6;P4_1;P4_2;P4_3;P4_4;P4_5;P4_6;P4_7;P4_8;P5;P6;P7;P8#1;P8#2;P8#3;P8#4;P8#5;P8#6;P8#7;P8#8;P8#9;P8#10;P8#11;P9_1;P9_2;P9_3;P9_4;P9_5;P9_6;P9_7;P9_8;P9_9;P9R_1;P9R_2;P9R_3;P10_1;P10_2;P10_3;P10_4;P10_5;P10_6;P10_7;P11;P12;P13_1;P13_2;P13_3;P13_4;P13_5;P13_6;P13_7;P13_8;P13_9;P14_1;P14_2;P15_1;P15_2;P15_3;P16_4;P16_5;P16_6;P16_7;P17_1;P17_2;P17_3;P17_4;P17_5;P18_1;P18_2;P18_3;P18_4;P18_5;P18_6;P18_7;P18_8;P18_9;P19;P20;P21;P22;CAMBIO_20240717;CAMBIO_20240723;CAMBIO_20240724
Mobile;Femenino;27;25_34;Licenciatura, Grado. 2º Ciclo (Universitarios, Licenciados superior, Facultades, Escuelas técnicas superiores, etc;Madrid Capital;;Puente de Vallecas;;0;0;1;1;0;0;0;0;0;1;0;0;0;1;0;;8;7;4;6;9;2;6;7;7;8;6;7;5;7;8;De 1 a 3 años;Extranjero;0;0;0;0;0;0;0;1;0;0;0;2;;;;;3;;1;;Por su belleza;Que esté cerca;Que sea gratuito;6;7;6;0 Nada necesario;7;7;8;8;Patrimonio natural;Sí;Sí;No;No;No;Sí;No;No;No;Hace entre 1 y 5 años;Nunca;No estoy interesado;No lo conozco, pero soy curioso y me podría interesar;No lo conozco, pero soy curioso y me podría interesar;;;Hace 1 año, pero menos de 5;;8;6;7;5;7;7;6;;;;8;;;;No sé;Trabajo;No;Alrededor de esa cifra;;;
Desktop;Femenino;29;25_34;Licenciatura, Grado. 2º Ciclo (Universitarios, Licenciados superior, Facultades, Escuelas técnicas superiores, etc;Madrid Capital;;Villa de Vallecas;;1;1;1;1;1;1;1;0;1;1;0;0;0;0;0;;8;8;1;7;7;9;10 Me interesa muchísimo;9;1;8;6;1;1;7;10 Es muy importante;De 3 meses a menos de 1 año;Resto España;0;0;0;0;0;0;0;1;0;0;0;;;3,0;;1,0;;;2;;Que me lo hayan recomendado;Por su belleza;Que sea Patrimonio Mundial;10 Totalmente necesario;10 Totalmente necesario;10 Totalmente necesario;10 Totalmente necesario;10 Totalmente necesario;10 Totalmente necesario;10 Totalmente necesario;8;rituales, actos que se han quedado de la antiguedad;Sí;Sí;No;No;Sí;Sí;No;No;No;Hace más de 1 mes, pero menos de 1 año;Hace 1 mes o menos;No lo conozco, pero soy curioso y me podría interesar;No lo conozco, pero soy curioso y me podría interesar;No lo conozco, pero soy curioso y me podría interesar;;Hace más de 5 años;En el último año;;9;9;9;9;9;10 Excelente fomento y protección;9;;;9;9;;;;No lo sé;Trabajo;No;Superiores;;;
Mobile;Masculino;22;18_24;Segundo Grado. 2º Ciclo (FP Iº y IIº, Bachiller superior, BUP, 3º y 4º de ESO (2º ciclo) COU, PREU, 1º y 2º Bachillerato;Madrid Sur;Pinto;;20.001-50.000;0;1;1;0;0;0;1;0;0;1;1;1;0;1;0;;7;7;3;6;7;5;7;7;6;7;5;4;5;8;9;De 3 meses a menos de 1 año;Resto España;0;0;0;0;0;0;0;0;0;1;0;;;;;1,0;;;2;;Que me lo hayan recomendado;Por su belleza;;5;8;7;4;6;9;5;7;La gente, las costumbres , cosas no materiales de un sitio;Sí;Sí;No;No;No;Sí;Sí;No;No;Hace más de 1 mes, pero menos de 1 año;Hace más de 1 mes, pero menos de 1 año;No estoy interesado;No estoy interesado;Estoy interesado y me gustaría que hubiera más actividades relacionadas;;;En el último año;Nunca;7;8;5;6;5;7;2;;;;8;6;;;No lo se;Parado/a y he trabajado antes;No;Alrededor de esa cifra;1,0;;
Mobile;Femenino;56;55_64;Segundo Grado. 2º Ciclo (FP Iº y IIº, Bachiller superior, BUP, 3º y 4º de ESO (2º ciclo) COU, PREU, 1º y 2º Bachillerato;Madrid Capital;;Ciudad Lineal;;1;0;1;1;0;0;0;0;1;1;0;0;0;1;0;;7;6;5;6;8;8;7;8;6;5;7;7;7;7;7;De 3 meses a menos de 1 año;Madrid capital;0;1;0;0;0;0;0;0;0;0;0;;;2,0;;;;1,0;3;;Por el valor histórico;Que sea Patrimonio Mundial;Por su belleza;7;7;7;7;7;7;7;10 Está muy bien conservado;Es lo que hemos heredado de nuestros antepasados. Lo que nos han ido contando o enseñando;No;Sí;No;No;No;Sí;No;No;No;Hace 1 mes o menos;Nunca;No lo conozco, pero soy curioso y me podría interesar;No estoy interesado;No estoy interesado;;;En el último año;;7;9;7;10 Estoy muy de acuerdo;10 Estoy muy de acuerdo;;10 Excelente fomento y protección;;;;10 Excelente fomento y protección;;;;Se ha ido perdiendo todo el trabajo artesanal que se hacía en los pueblos;Trabajo doméstico no remunerado;No;Superiores;;;
Mobile;Femenino;29;25_34;Tercer Grado. 1er Ciclo (Equivalente a Ingeniero técnico, 3 años, Escuelas universitarias, Ingenieros técnicos, Arquitec;Madrid Capital;;Villaverde;;0;0;1;1;1;0;0;0;1;0;0;0;0;1;0;;10 Me interesa muchísimo;6;8;8;9;0 No me interesa en absoluto;6;6;3;10 Me interesa muchísimo;7;4;4;5;9;Hace menos de 3 meses;Madrid capital;0;0;0;0;0;1;0;0;0;0;1;;;;;;3;2,0;1;;Por su belleza;Por el valor histórico;Que sea gratuito;6;8;8;4;7;7;6;8;Patrimonio que no tenga un objeto o lugar físico, por ejemplo canciones o cuentos populares;Sí;Sí;Sí;No;No;No;No;No;No;Nunca;Nunca;No lo conozco, pero soy curioso y me podría interesar;No lo conozco, pero soy curioso y me podría interesar;No lo conozco, pero soy curioso y me podría interesar;;;;;6;5;6;5;6;6;5;2;;;;;;;Cualquier cosa que no sea la tauromaquia La tauromaquia debería morir;Estudio;No;Superiores;;;
Desktop;Masculino;51;45_54;Licenciatura, Grado. 2º Ciclo (Universitarios, Licenciados superior, Facultades, Escuelas técnicas superiores, etc;Madrid Sur;Parla;;100.001-500.000;1;1;1;1;1;1;1;0;1;1;0;0;1;1;0;;9;9;9;9;9;8;9;9;5;9;8;8;7;8;9;De 3 meses a menos de 1 año;Resto España;0;0;0;1;0;0;0;0;0;0;0;;;;;1,0;;2,0;3;;Que me lo hayan recomendado;Por el valor histórico;Por su belleza;9;9;9;0 Nada necesario;9;9;9;8;Tradiciones culturales;Sí;Sí;No;No;No;Sí;No;No;No;Hace 1 mes o menos;Hace entre 1 y 5 años;Estoy interesado y me gustaría que hubiera más actividades relacionadas;Estoy interesado y me gustaría que hubiera más actividades relacionadas;No lo conozco, pero soy curioso y me podría interesar;;;En el último año;;9;8;9;5;9;3;5;;;;5;;;;no sé;Trabajo;No;Superiores;1,0;;
Mobile;Femenino;26;25_34;Segundo Grado. 2º Ciclo (FP Iº y IIº, Bachiller superior, BUP, 3º y 4º de ESO (2º ciclo) COU, PREU, 1º y 2º Bachillerato;Madrid Capital;;San Blas-Canillejas;;1;0;1;1;1;0;1;0;1;0;1;0;0;1;0;;6;6;1;3;8;5;3;7;5;9;2;2;2;6;7;Hace menos de 3 meses;Madrid capital;0;0;0;0;0;1;0;0;0;0;0;;;;;2,0;;3,0;1;;Por su belleza;Que me lo hayan recomendado;Por el valor histórico;5;8;7;6;5;7;No lo sé / Prefiero no contestar;6;Algo que no se puede tocar: un tipo de baile o música.;Sí;No;No;No;No;Sí;No;No;No;Hace más de 1 mes, pero menos de 1 año;Nunca;No lo conozco, pero soy curioso y me podría interesar;No lo conozco, pero soy curioso y me podría interesar;No lo conozco, pero soy curioso y me podría interesar;;;Hace más de 5 años;;7;3;2;7;4;5;;;;;5;;;;No sé.;Trabajo;No;Muy superiores (más del doble);;;
Mobile;Masculino;74;65_+;Segundo Grado. 2º Ciclo (FP Iº y IIº, Bachiller superior, BUP, 3º y 4º de ESO (2º ciclo) COU, PREU, 1º y 2º Bachillerato;Madrid Capital;;Carabanchel;;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;;7;5;5;7;5;0 No me interesa en absoluto;8;8;5;5;7;8;5;7;7;Hace más de 3 años;Extranjero;1;0;0;0;0;0;0;0;0;0;0;;;;;1,0;;;;;Que me lo hayan recomendado;;;7;7;7;7;7;7;7;6;No se;No;No;No;No;No;Sí;No;No;No;Nunca;Nunca;No estoy interesado;No lo conozco, pero soy curioso y me podría interesar;No lo conozco, pero soy curioso y me podría interesar;;;En el último año;;5;5;5;5;5;;;;;;7;;;;No recuerdo;Jubilado/a o pensionista (anteriormente he trabajado);No;Alrededor de esa cifra;;;
Mobile;Femenino;34;25_34;Licenciatura, Grado. 2º Ciclo (Universitarios, Licenciados superior, Facultades, Escuelas técnicas superiores, etc;Madrid Capital;;Fuencarral-El Pardo;;1;1;1;1;1;0;1;0;1;1;0;1;0;1;0;;9;8;6;7;9;7;7;7;5;7;6;6;6;8;9;Hace menos de 3 meses;Madrid capital;1;0;0;0;0;0;0;0;0;0;0;;;;;3,0;;1,0;2;;Por el valor histórico;Por su belleza;Que me lo hayan recomendado;9;9;8;7;7;10 Totalmente necesario;8;8;Que no tiene que ver con algo fisico sino mas bien cultural de cada pais;Sí;Sí;Sí;No;No;Sí;Sí;No;No;Hace entre 1 y 5 años;Hace entre 1 y 5 años;No lo conozco, pero soy curioso y me podría interesar;No lo conozco, pero soy curioso y me podría interesar;No lo conozco, pero soy curioso y me podría interesar;;;En el último año;Hace 1 año, pero menos de 5;7;7;9;8;8;10 Excelente fomento y protección;8;5;;;8;5;;;Comida tipicas y tradicionales;Trabajo;No;Alrededor de esa cifra;;;
Mobile;Femenino;40;35_44;Licenciatura, Grado. 2º Ciclo (Universitarios, Licenciados superior, Facultades, Escuelas técnicas superiores, etc;Madrid Oeste;Collado Villalba;;50.001-100.000;1;1;0;0;0;0;1;0;1;1;0;0;1;1;0;;6;7;9;7;8;9;9;9;7;8;5;6;9;9;9;Hace menos de 3 meses;Resto España;0;0;0;1;0;0;0;1;0;0;0;;;;;;1;2,0;;3,0;Que sea gratuito;Por el valor histórico;Que forme parte de una tradición con la que me identifique;9;9;8;6;7;9;8;6;Una idea que se prolonga a lo largo del tiempo que refleja la herencia cultural;Sí;Sí;Sí;No;No;Sí;No;No;No;Hace 1 mes o menos;Hace entre 1 y 5 años;No estoy interesado;No estoy interesado;No estoy interesado;;;Hace más de 5 años;;6;9;7;9;8;3;7;5;;;7;;;;Gastronomía;Trabajo;No;Superiores;1,0;;
Mobile;Masculino;53;45_54;Segundo Grado. 2º Ciclo (FP Iº y IIº, Bachiller superior, BUP, 3º y 4º de ESO (2º ciclo) COU, PREU, 1º y 2º Bachillerato;Madrid Capital;;Villaverde;;1;0;1;1;0;0;0;0;1;1;0;1;0;1;0;;9;9;10 Me interesa muchísimo;9;9;7;9;9;5;9;8;7;8;7;10 Es muy importante;De 3 meses a menos de 1 año;Resto España;0;0;0;0;0;0;0;1;0;0;0;3;;;;;;2,0;1;;Por su belleza;Por el valor histórico;Que esté cerca;9;10 Totalmente necesario;9;9;10 Totalmente necesario;10 Totalmente necesario;9;8;un patrimonio que no se puede tocar físicamente;Sí;Sí;Sí;No;No;Sí;No;No;No;Hace más de 1 mes, pero menos de 1 año;Nunca;No lo conozco, pero soy curioso y me podría interesar;No lo conozco, pero soy curioso y me podría interesar;No lo conozco, pero soy curioso y me podría interesar;;;Hace más de 5 años;;10 Estoy muy de acuerdo;0 No estoy de acuerdo en absoluto;10 Estoy muy de acuerdo;10 Estoy muy de acuerdo;9;8;5;5;;;7;;;;no se;Trabajo;No;Superiores;;;
Desktop;Femenino;43;35_44;Tercer Grado (Máster);Madrid Capital;;Latina;;1;0;1;1;1;1;0;0;1;1;1;1;1;1;0;;9;9;9;9;10 Me interesa muchísimo;9;9;9;8;8;9;9;7;9;10 Es muy importante;Hace menos de 3 meses;Resto España;0;0;0;0;0;0;0;1;0;0;0;;;3,0;;1,0;;;2;;Que me lo hayan recomendado;Por su belleza;Que sea Patrimonio Mundial;10 Totalmente necesario;8;10 Totalmente necesario;9;10 Totalmente necesario;10 Totalmente necesario;10 Totalmente necesario;7;los bienes intangibles: costumbres, legado inmaterial, ...;Sí;Sí;Sí;No;No;Sí;No;Sí;No;Hace entre 1 y 5 años;Hace entre 1 y 5 años;Estoy interesado y me gustaría que hubiera más actividades relacionadas;No lo conozco, pero soy curioso y me podría interesar;No lo conozco, pero soy curioso y me podría interesar;;;Hace 1 año, pero menos de 5;;10 Estoy muy de acuerdo;8;10 Estoy muy de acuerdo;10 Estoy muy de acuerdo;10 Estoy muy de acuerdo;10 Excelente fomento y protección;10 Excelente fomento y protección;10 Excelente fomento y protección;;;10 Excelente fomento y protección;;10 Excelente fomento y protección;;Hay muchos, en cada rincón de la comunidad: fiestas y tradiciones patronales, ...;Trabajo;No;Superiores;;;
Desktop;Masculino;75;65_+;Primer Grado (Certificado escolar, EGB 1ª etapa, más o menos 10 años);Madrid Capital;;Villa de Vallecas;;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;;6;5;1;4;8;10 Me interesa muchísimo;3;5;5;5;7;6;3;3;10 Es muy importante;Hace más de 3 años;Resto España;1;0;0;0;0;1;0;0;0;0;0;1;;;;;3;2,0;;;Que esté cerca;Por el valor histórico;Que sea gratuito;8;6;6;4;6;9;9;10 Está muy bien conservado;me dice poco;Sí;Sí;Sí;No;No;Sí;No;No;No;Hace 1 mes o menos;Hace más de 5 años;No estoy interesado;No estoy interesado;No estoy interesado;;;Hace 1 año, pero menos de 5;;8;8;8;7;7;5;5;2;;;6;;;;sus fiestas en general;Jubilado/a o pensionista (anteriormente he trabajado);No;Alrededor de esa cifra;;;
Desktop;Masculino;65;65_+;Licenciatura, Grado. 2º Ciclo (Universitarios, Licenciados superior, Facultades, Escuelas técnicas superiores, etc;Madrid Capital;;Arganzuela;;1;0;1;1;1;1;1;0;1;1;1;1;1;1;0;;10 Me interesa muchísimo;10 Me interesa muchísimo;8;10 Me interesa muchísimo;10 Me interesa muchísimo;0 No me interesa en absoluto;10 Me interesa muchísimo;10 Me interesa muchísimo;5;10 Me interesa muchísimo;10 Me interesa muchísimo;8;6;8;10 Es muy importante;Hace menos de 3 meses;Extranjero;0;0;1;0;0;0;0;0;0;0;0;;;1,0;;;;2,0;3;;Que sea Patrimonio Mundial;Por el valor histórico;Por su belleza;9;10 Totalmente necesario;10 Totalmente necesario;10 Totalmente necesario;10 Totalmente necesario;10 Totalmente necesario;10 Totalmente necesario;6;Tradiciones y representaciones artísticas de todo tipo;Sí;Sí;Sí;Sí;No;Sí;No;No;No;Nunca;Nunca;Estoy interesado y me gustaría que hubiera más actividades relacionadas;No estoy interesado;No lo conozco, pero soy curioso y me podría interesar;Nunca;;Hace más de 5 años;;9;5;9;8;9;7;5;7;7;;8;;;;La cultura en general y la educación que la tienen masacrada;Jubilado/a o pensionista (anteriormente he trabajado);No;Muy superiores (más del doble);;;
Mobile;Femenino;59;55_64;Licenciatura, Grado. 2º Ciclo (Universitarios, Licenciados superior, Facultades, Escuelas técnicas superiores, etc;Madrid Capital;;Usera;;1;1;0;0;0;0;1;0;0;1;0;0;0;1;0;;9;8;8;9;7;8;8;9;9;8;2;5;8;9;10 Es muy importante;De 3 meses a menos de 1 año;Resto Comunidad de Madrid;0;0;0;0;0;0;0;1;0;0;0;;;3,0;;;;2,0;1;;Por su belleza;Por el valor histórico;Que sea Patrimonio Mundial;9;9;9;8;10 Totalmente necesario;10 Totalmente necesario;9;7;Lo que no son inmuebles, costumbres, recetas...;Sí;Sí;Sí;No;No;Sí;No;Sí;No;Hace más de 1 mes, pero menos de 1 año;Hace más de 1 mes, pero menos de 1 año;No estoy interesado;Estoy interesado y me gustaría que hubiera más actividades relacionadas;No lo conozco, pero soy curioso y me podría interesar;;;En el último año;;10 Estoy muy de acuerdo;5;8;9;8;7;5;3;;;10 Excelente fomento y protección;;6;;Museo etnografico;Trabajo;No;Superiores;;;
Mobile;Femenino;45;45_54;Segundo Grado. 2º Ciclo (FP Iº y IIº, Bachiller superior, BUP, 3º y 4º de ESO (2º ciclo) COU, PREU, 1º y 2º Bachillerato;Madrid Este;Alcalá de Henares;;100.001-500.000;0;0;1;1;1;1;1;0;1;1;0;0;0;1;0;;10 Me interesa muchísimo;10 Me interesa muchísimo;9;10 Me interesa muchísimo;10 Me interesa muchísimo;10 Me interesa muchísimo;10 Me interesa muchísimo;10 Me interesa muchísimo;6;9;10 Me interesa muchísimo;10 Me interesa muchísimo;10 Me interesa muchísimo;9;10 Es muy importante;De 3 meses a menos de 1 año;Resto Comunidad de Madrid;1;0;0;0;0;0;0;0;0;0;0;;;;;;2;1,0;3;;Por el valor histórico;Que sea gratuito;Por su belleza;10 Totalmente necesario;8;10 Totalmente necesario;7;10 Totalmente necesario;10 Totalmente necesario;10 Totalmente necesario;7;No se;Sí;No;Sí;No;No;Sí;No;No;No;Hace 1 mes o menos;Hace entre 1 y 5 años;Estoy interesado y me gustaría que hubiera más actividades relacionadas;Estoy interesado y me gustaría que hubiera más actividades relacionadas;No lo conozco, pero soy curioso y me podría interesar;;;Hace 1 año, pero menos de 5;;10 Estoy muy de acuerdo;10 Estoy muy de acuerdo;10 Estoy muy de acuerdo;10 Estoy muy de acuerdo;10 Estoy muy de acuerdo;0 Escaso fomento y protección;;5;;;10 Excelente fomento y protección;;;;No se;Otra situación;Sí, tengo menores/s de edad a mi cargo;Superiores;1,0;;
Mobile;Femenino;52;45_54;Tercer Grado (Máster);Madrid Capital;;Hortaleza;;1;0;1;0;1;0;1;0;1;0;0;0;0;1;0;;6;5;4;9;8;4;10 Me interesa muchísimo;9;8;7;5;3;2;7;10 Es muy importante;De 3 meses a menos de 1 año;Resto España;1;1;0;0;0;0;0;0;0;0;0;2;;;;;3;;1;;Por su belleza;Que esté cerca;Que sea gratuito;6;4;5;3;6;6;5;6;Algo que no es material;Sí;Sí;Sí;No;No;Sí;No;No;No;Hace 1 mes o menos;Hace entre 1 y 5 años;No estoy interesado;No lo conozco, pero soy curioso y me podría interesar;No lo conozco, pero soy curioso y me podría interesar;;;En el último año;;7;7;7;8;6;8;6;4;;;7;;;;La fiestas de la almudena;Trabajo doméstico no remunerado;Sí, tengo menores/s de edad a mi cargo;Muy superiores (más del doble);;;
Mobile;Femenino;38;35_44;Segundo Grado. 2º Ciclo (FP Iº y IIº, Bachiller superior, BUP, 3º y 4º de ESO (2º ciclo) COU, PREU, 1º y 2º Bachillerato;Madrid Sur;Fuenlabrada;;100.001-500.000;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;;10 Me interesa muchísimo;7;8;9;10 Me interesa muchísimo;9;8;10 Me interesa muchísimo;9;9;7;8;6;10 Me interesa muchísimo;10 Es muy importante;Hace menos de 3 meses;Resto España;1;0;0;0;0;0;0;1;0;0;0;;;;;;3;2,0;1;;Por su belleza;Por el valor histórico;Que sea gratuito;8;10 Totalmente necesario;10 Totalmente necesario;6;8;10 Totalmente necesario;10 Totalmente necesario;7;Tradiciones, dichos, festejos.. cosas no tangibles de la identidad de un pueblo.;Sí;Sí;Sí;Sí;No;Sí;No;Sí;No;Hace 1 mes o menos;Hace más de 1 mes, pero menos de 1 año;Estoy interesado y me gustaría que hubiera más actividades relacionadas;Estoy interesado y me gustaría que hubiera más actividades relacionadas;Estoy interesado y me gustaría que hubiera más actividades relacionadas;Nunca;;En el último año;;10 Estoy muy de acuerdo;6;5;10 Estoy muy de acuerdo;9;4;5;0 Escaso fomento y protección;0 Escaso fomento y protección;;6;;0 Escaso fomento y protección;;Encierros, la guerra de aguas de Vallecas;Trabajo;Sí, tengo menores/s de edad a mi cargo;Alrededor de esa cifra;1,0;;
Mobile;Femenino;45;45_54;Tercer Grado. 1er Ciclo (Equivalente a Ingeniero técnico, 3 años, Escuelas universitarias, Ingenieros técnicos, Arquitec;Madrid Capital;;Ciudad Lineal;;0;1;1;0;0;0;1;0;1;0;1;0;0;1;0;;8;7;6;8;6;10 Me interesa muchísimo;7;8;5;7;5;5;5;7;8;Hace menos de 3 meses;Extranjero;1;0;0;0;0;0;0;0;0;0;0;;;;;;2;3,0;1;;Por su belleza;Que sea gratuito;Por el valor histórico;8;6;6;6;5;8;6;8;Costumbres, pensamientos, refranes, profesiones, fiestas , folklore.Todo aquello de nuestro patrimonio no material;Sí;Sí;Sí;No;No;Sí;No;Sí;No;Hace 1 mes o menos;Hace 1 mes o menos;No lo conozco, pero soy curioso y me podría interesar;Estoy interesado y me gustaría que hubiera más actividades relacionadas;No lo conozco, pero soy curioso y me podría interesar;;;En el último año;;5;4;5;5;8;2;0 Escaso fomento y protección;0 Escaso fomento y protección;;;5;;0 Escaso fomento y protección;;Artesanía, vocabulario, fiestas populares de pueblos pequeños;Trabajo;No;Muy superiores (más del doble);;;
Desktop;Femenino;71;65_+;Tercer Grado. 1er Ciclo (Equivalente a Ingeniero técnico, 3 años, Escuelas universitarias, Ingenieros técnicos, Arquitec;Madrid Capital;;Retiro;;1;1;1;1;1;1;1;0;1;0;0;1;1;1;0;;8;8;6;8;8;8;8;9;4;7;9;8;9;7;9;Hace menos de 3 meses;Madrid capital;0;1;0;0;0;0;0;0;0;0;0;;;;;;;2,0;1;3,0;Por su belleza;Por el valor histórico;Que forme parte de una tradición con la que me identifique;7;8;8;8;8;8;7;7;Costumbres y tradiciones;Sí;Sí;Sí;Sí;No;Sí;No;No;No;Hace más de 1 mes, pero menos de 1 año;Hace 1 mes o menos;No lo conozco, pero soy curioso y me podría interesar;No lo conozco, pero soy curioso y me podría interesar;No lo conozco, pero soy curioso y me podría interesar;En el último año;;Hace 1 año, pero menos de 5;;8;6;7;6;6;9;9;7;8;;8;;;;Ninguno;Jubilado/a o pensionista (anteriormente he trabajado);No;Muy superiores (más del doble);;;
Mobile;Masculino;51;45_54;Segundo Grado. 1er Ciclo (Graduado escolar, o EGB 2ª etapa, 1º y 2º ESO-1er ciclo- hasta 14 años);Madrid Capital;;Carabanchel;;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;;8;6;5;6;6;5;6;6;5;7;5;5;5;7;8;Hace menos de 3 meses;Madrid capital;0;0;0;0;0;0;0;1;0;0;0;;;;;;3;2,0;1;;Por su belleza;Por el valor histórico;Que sea gratuito;7;7;7;6;6;7;5;5;Conceptos como por ejemplo la música;Sí;Sí;Sí;No;No;Sí;No;No;No;Hace 1 mes o menos;Hace más de 1 mes, pero menos de 1 año;No lo conozco, pero soy curioso y me podría interesar;No lo conozco, pero soy curioso y me podría interesar;Estoy interesado y me gustaría que hubiera más actividades relacionadas;;;Hace 1 año, pero menos de 5;;8;5;8;7;8;6;8;5;;;8;;;;Conciertos musica;Trabajo;Sí, tengo menores/s de edad a mi cargo;Alrededor de esa cifra;;;
Mobile;Femenino;22;18_24;Tercer Grado. 1er Ciclo (Equivalente a Ingeniero técnico, 3 años, Escuelas universitarias, Ingenieros técnicos, Arquitec;Madrid Capital;;Moncloa-Aravaca;;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;;6;10 Me interesa muchísimo;0 No me interesa en absoluto;6;7;7;10 Me interesa muchísimo;7;0 No me interesa en absoluto;10 Me interesa muchísimo;3;6;0 No me interesa en absoluto;8;10 Es muy importante;Hace menos de 3 meses;Resto Comunidad de Madrid;0;0;0;0;0;0;0;1;0;0;1;1;;;;;2;;3;;Que esté cerca;Que sea gratuito;Por su belleza;6;6;6;4;6;7;5;8;Danzas, platos traficionles, fiestas, ?;Sí;Sí;Sí;No;No;Sí;No;No;Sí;Hace 1 mes o menos;Nunca;No estoy interesado;No estoy interesado;No estoy interesado;;;Nunca;;8;7;9;8;9;7;8;3;;;7;;;0 Escaso fomento y protección;Todos los que no tengan que ver con el maltrato a un animal;Trabajo;Sí, tengo menores/s de edad a mi cargo;Superiores;;;
Mobile;Masculino;41;35_44;Licenciatura, Grado. 2º Ciclo (Universitarios, Licenciados superior, Facultades, Escuelas técnicas superiores, etc;Madrid Capital;;Retiro;;0;1;1;0;0;0;0;0;1;0;0;0;0;1;0;;9;5;5;7;8;0 No me interesa en absoluto;7;6;1;8;5;4;3;9;10 Es muy importante;De 3 meses a menos de 1 año;Extranjero;0;0;1;0;0;0;0;1;0;0;0;;;1,0;;3,0;;;2;;Que sea Patrimonio Mundial;Por su belleza;Que me lo hayan recomendado;10 Totalmente necesario;8;6;4;5;8;5;6;No;No;No;Sí;No;No;Sí;No;No;No;Hace más de 5 años;Nunca;No estoy interesado;No estoy interesado;No estoy interesado;;;Hace más de 5 años;;7;6;7;5;4;;;3;;;7;;;;Los chulapos, el cocido;Trabajo;Sí, tengo menores/s de edad a mi cargo;Superiores;;;
Desktop;Masculino;60;55_64;Segundo Grado. 2º Ciclo (FP Iº y IIº, Bachiller superior, BUP, 3º y 4º de ESO (2º ciclo) COU, PREU, 1º y 2º Bachillerato;Madrid Capital;;Fuencarral-El Pardo;;1;1;1;1;1;1;1;0;1;1;0;1;1;0;0;;4;6;5;7;6;7;7;5;5;3;4;6;6;6;6;Hace menos de 3 meses;Madrid capital;0;0;0;0;0;1;0;0;0;0;0;;1,0;;2,0;3,0;;;;;Que ofrezca actividades para toda la familia;Que aparezca en las guías;Que me lo hayan recomendado;8;5;7;6;7;6;8;8;EL TODO;No;No;Sí;Sí;Sí;Sí;Sí;Sí;Sí;Hace entre 1 y 5 años;Hace entre 1 y 5 años;Estoy interesado y me gustaría que hubiera más actividades relacionadas;No lo conozco, pero soy curioso y me podría interesar;Estoy interesado y me gustaría que hubiera más actividades relacionadas;Hace más de 5 años;Hace 1 año, pero menos de 5;Hace 1 año, pero menos de 5;Hace 1 año, pero menos de 5;5;5;6;5;5;;;6;6;6;6;6;6;5;EN TODOS;Trabajo;No;Alrededor de esa cifra;;;
Desktop;Femenino;60;55_64;Tercer Grado (Máster);Madrid Capital;;Moratalaz;;0;0;0;1;0;0;1;0;0;1;1;0;0;1;0;;8;6;6;9;8;1;3;3;2;6;6;6;4;8;10 Es muy importante;De 3 meses a menos de 1 año;Resto España;0;0;0;0;0;0;0;1;0;0;0;;;;;1,0;;2,0;3;;Que me lo hayan recomendado;Por el valor histórico;Por su belleza;10 Totalmente necesario;10 Totalmente necesario;10 Totalmente necesario;8;10 Totalmente necesario;10 Totalmente necesario;10 Totalmente necesario;7;Cosas no tangibles;Sí;Sí;Sí;Sí;No;Sí;No;Sí;Sí;Hace más de 1 mes, pero menos de 1 año;Hace más de 5 años;No lo conozco, pero soy curioso y me podría interesar;No lo conozco, pero soy curioso y me podría interesar;No lo conozco, pero soy curioso y me podría interesar;Nunca;;Hace 1 año, pero menos de 5;;10 Estoy muy de acuerdo;4;7;8;8;4;4;5;5;;8;;3;2;No tengo opinión al respecto. No considero que la tauromaquia sea algo a proteger;Trabajo;No;Superiores;;;
